Issue key,Issue id,Summary,Assignee,Assignee Id,Custom field (Requirement Priority),Status
LVV-192,292062,DMS-REQ-0366-V-01: Subsets Support,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,2,Covered
LVV-193,292067,DMS-REQ-0367-V-01: Access Services Performance,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,2,Covered
LVV-194,292072,DMS-REQ-0368-V-01: Implementation Provisions,Leanne Guy,63764f019960988ef6bcba0e,3,Covered
LVV-195,305198,DMS-REQ-0369-V-01: Evolution,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1b,In Verification
LVV-196,292074,DMS-REQ-0370-V-01: Older Release Behavior,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,3,Covered
LVV-197,292085,DMS-REQ-0371-V-01: Query Availability,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,3,Covered
LVV-3394,291910,DMS-REQ-0377-V-01: Min number of simultaneous single-CCD coadd cutout image users,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-3395,291912,"DMS-REQ-0374-V-01: Max time to retrieve single-CCD, single-visit PVI image",Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-3396,291914,DMS-REQ-0376-V-01: Max time to retrieve all PVI images for single visit,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-3397,291911,DMS-REQ-0373-V-01: Min number of simultaneous large-area coadd image users,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-3398,291921,DMS-REQ-0375-V-01: Max time to retrieve single-object postage stamp images,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-3399,291915,DMS-REQ-0378-V-01: Simultaneous Image Access Performance,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-3400,291913,DMS-REQ-0358-V-01: Min number of simultaneous DM EFD query users,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-3401,306362,DMS-REQ-0359-V-01: RMS photometric repeatability in uzy,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-3402,306363,DMS-REQ-0360-V-01: Median astrometric error on 20 arcmin scales,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-3403,305606,DMS-REQ-0361-V-01: Simultaneous users for high-volume queries,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1b,In Verification
LVV-3404,305609,DMS-REQ-0362-V-01: Median residual PSF ellipticity correlations on 5 arcmin scales,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-9637,307021,DMS-REQ-0372-V-01: Archiving Camera Test Data,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9740,292154,DMS-REQ-0004-V-02: Latency of reporting optical transients,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-9741,306967,DMS-REQ-0030-V-02: Minimum astrometric standards per CCD,Jim Bosch,5c2f5797a217aa69bce53f54,1a,Verified
LVV-9742,291959,DMS-REQ-0271-V-02: Max nearby stars associated with DIASource,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-9743,291960,DMS-REQ-0271-V-03: Radius considered nearby,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-9744,292159,DMS-REQ-0344-V-02: Latency of reporting optical transients,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-9745,292157,DMS-REQ-0131-V-02: Max number of calibs to be processed,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-9746,292165,DMS-REQ-0287-V-02: Max time from acquisition to L1 data release,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-9747,292162,DMS-REQ-0287-V-03: Lifetime of archived L1 data products,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-9748,292167,DMS-REQ-0343-V-02: Number of simultaneous users,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-9749,292170,DMS-REQ-0341-V-02: Min number of precovery service connections,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Covered
LVV-9750,298002,DMS-REQ-0364-V-02: Length of survey,Leanne Guy,63764f019960988ef6bcba0e,3,Not Covered
LVV-9751,292187,DMS-REQ-0359-V-02: Max fraction of sensors with excess unusable pixels,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9752,306943,DMS-REQ-0359-V-03: Max fraction of outliers among non-saturated sources,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9753,292172,DMS-REQ-0359-V-04: Accuracy of zero point for colors with u-band,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-9754,306983,DMS-REQ-0359-V-05: Repeatability outlier limit in gri,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9755,292175,DMS-REQ-0359-V-06: Accuracy of photometric transformation,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-9756,292178,DMS-REQ-0359-V-07: RMS width of zero point in u-band,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-9757,292180,DMS-REQ-0359-V-08: Max cross-talk imperfections,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9758,306955,DMS-REQ-0359-V-09: Repeatability outlier limit in uzy,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9759,293030,DMS-REQ-0359-V-10: RMS photometric repeatability in gri,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9760,292182,DMS-REQ-0359-V-11: Fraction of zero point outliers,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-9761,292185,DMS-REQ-0359-V-12: Max fraction of unusable pixels per sensor,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9762,292192,DMS-REQ-0359-V-13: Max sky brightness error,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-9763,292194,DMS-REQ-0359-V-14: RMS width of zero point in all bands except u,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-9764,292190,DMS-REQ-0359-V-15: Percentage of image area with ghosts,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-9765,292206,DMS-REQ-0359-V-16: Accuracy of zero point for colors without u-band,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-9766,292199,DMS-REQ-0359-V-17: Max RMS of resolved/unresolved flux ratio,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9767,293024,DMS-REQ-0360-V-02: Max fraction exceeding limit on 5 arcmin scales,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9768,306963,DMS-REQ-0360-V-03: Median astrometric error on 5 arcmin scales,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9769,306976,"DMS-REQ-0360-V-04: Median absolute error in RA, Dec",Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9770,293029,DMS-REQ-0360-V-05: Outlier limit on 20 arcmin scales,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9771,293032,DMS-REQ-0360-V-06: Color difference outlier limit relative to r-band,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9773,293035,DMS-REQ-0360-V-07: Outlier limit on 5 arcmin scales,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9774,293034,DMS-REQ-0360-V-08: Median astrometric error on 200 arcmin scales,Leanne Guy,63764f019960988ef6bcba0e,1a,Monitoring
LVV-9775,293045,DMS-REQ-0360-V-09: Outlier limit on 200 arcmin scales,Leanne Guy,63764f019960988ef6bcba0e,1a,Monitoring
LVV-9776,293039,DMS-REQ-0360-V-10: Max fraction exceeding limit on 20 arcmin scales,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9777,293037,DMS-REQ-0360-V-11: Max fraction of r-band color difference outliers,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9778,293047,DMS-REQ-0360-V-12: RMS difference between r-band and other filter separation,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-9779,305552,DMS-REQ-0360-V-13: Max fraction exceeding limit on 200 arcmin scales,Leanne Guy,63764f019960988ef6bcba0e,1a,Monitoring
LVV-9780,305554,DMS-REQ-0362-V-02: Max fraction of excess ellipticity residuals on 1 and 5 arcmin scales,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-9781,305563,DMS-REQ-0362-V-03: Outlier limit on 5 arcmin scales - ellipticity,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-9782,305555,DMS-REQ-0362-V-04: Median residual PSF ellipticity correlations on 1 arcmin scales,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-9783,305562,DMS-REQ-0362-V-05: Outlier limit on scales < 5 arcmin - ellipticity,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-9784,292197,DMS-REQ-0355-V-02: Min number of simultaneous Prompt Products query users,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Covered
LVV-9785,298004,DMS-REQ-0356-V-02: Max size of low-volume query results,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1b,Covered
LVV-9786,305557,DMS-REQ-0356-V-03: Min number of simultaneous low-volume query users,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-9787,305556,DMS-REQ-0356-V-04: Max time to retrieve low-volume query results,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-9788,292201,DMS-REQ-0358-V-02: Max time to retrieve DM EFD query results,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-9789,298003,DMS-REQ-0373-V-02: Max time to retrieve large-area coadd image,Leanne Guy,63764f019960988ef6bcba0e,2,Not Covered
LVV-9790,298006,DMS-REQ-0374-V-02: Min number of simultaneous PVI image users,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-9791,298005,DMS-REQ-0374-V-03: Uncached L1 data product lifetime - single-CCD,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-9792,298009,DMS-REQ-0375-V-02: Min size of postage stamp cutout,Leanne Guy,63764f019960988ef6bcba0e,2,Not Covered
LVV-9793,298013,DMS-REQ-0375-V-03: Uncached L1 data product lifetime - postage stamp,Leanne Guy,63764f019960988ef6bcba0e,2,Not Covered
LVV-9794,292204,DMS-REQ-0375-V-04: Min number of simultaneous postage stamp users,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-9795,298007,DMS-REQ-0376-V-02: Min number of simultaneous users retrieving all PVI images,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-9796,298008,DMS-REQ-0376-V-03: Uncached L1 data product lifetime - focal-plane,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-9797,299700,DMS-REQ-0377-V-02: Max time to retrieve single-CCD coadd cutout image,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-9803,299698,DMS-REQ-0004-V-03: Time to availability of Solar System Object orbits,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-18222,304689,DMS-REQ-0384-V-01: Export MOCs As FITS_1,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-18223,304688,DMS-REQ-0381-V-01: HiPS Linkage to Coadds_1,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-18224,292677,DMS-REQ-0380-V-01: HiPS Service_IVOA-compliant,Leanne Guy,63764f019960988ef6bcba0e,1b,Verified
LVV-18225,292272,DMS-REQ-0382-V-01: HiPS Visualization_PRTL,Leanne Guy,63764f019960988ef6bcba0e,1b,Verified
LVV-18226,304693,DMS-REQ-0385-V-01: MOC Visualization_1,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-18227,292276,DMS-REQ-0379-V-01: Produce All-Sky HiPS Map_1,Leanne Guy,63764f019960988ef6bcba0e,1b,Verified
LVV-18228,304690,DMS-REQ-0383-V-01: Produce MOC Maps_1,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-18229,304692,DMS-REQ-0344-V-01: Time to L1 public release,Melissa Graham,712020:4bc6880a-9b76-4872-8191-7c22d1fb8ab4,2,Covered
LVV-18230,304691,DMS-REQ-0386-V-01: Archive Processing Provenance_1,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-18231,304694,DMS-REQ-0387-V-01: Serve Archived Provenance_1,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-18232,304696,DMS-REQ-0388-V-01: Provide Re-Run Tools_1,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-18233,304695,DMS-REQ-0390-V-01: Re-Runs on Other Systems_1,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-18234,304697,DMS-REQ-0389-V-01: Re-Runs on Similar Systems_1,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-18295,304699,DMS-REQ-0394-V-01: Data Management Nightly Reporting,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-18297,304698,DMS-REQ-0391-V-01: Alert Stream Distribution nStreams,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-18298,304701,DMS-REQ-0392-V-01: Fraction of Alerts Transmitted,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-18299,304700,DMS-REQ-0393-V-01: Average Number of Alerts Per Visit,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-18339,304710,DMS-REQ-0359-V-18: Outlier limit on zero points,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-18465,292294,DMS-REQ-0395-V-01: Scientific Visualization of Camera Image Data,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-18491,304713,DMS-REQ-0352-V-02: Base Voice Over IP (VOIP),Joshua Hoblitt,5f722c5aa290960075e2febf,2,Covered
LVV-18841,304606,DMS-REQ-0396-V-01: Data Products Processing Infrastructure,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-18847,304618,DMS-REQ-0397-V-01: Prompt/DR Processing of Data from Special Programs,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-18881,305878,DMS-REQ-0282-V-02: Dark Current Correction Frame Effectiveness,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-18911,304639,DMS-REQ-0391-V-02: Alert Stream Distribution Latency,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-19214,305138,DMS-REQ-0392-V-02: Max Alert Failure Fraction,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-19215,305139,DMS-REQ-0392-V-03: Latency of Reporting Transients,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-19216,305140,DMS-REQ-0392-V-04: Peak Number of Alerts,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-19217,305144,DMS-REQ-0393-V-02: Peak Number of Alerts Per Visit,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-19218,305146,DMS-REQ-0392-V-05: Max Fraction of Visits With Alert Delays,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-19488,304775,DMS-REQ-0003-V-01: Science Data Archive_1,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-19489,304780,DMS-REQ-0398-V-01: Ancillary Data Archiving,Colin Slater,557058:3ff657ba-216a-44ca-92c7-9f8273ef4816,1b,In Verification
LVV-19490,304774,DMS-REQ-0066-V-01: Image Archive_1,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-19491,304777,DMS-REQ-0399-V-01: Regenerate Un-archived Data Products (Services),Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-20528,306117,DMS-REQ-0298-V-02: Data Product and Raw Data Access - Catalog Data Products,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-20578,302306,DMS-REQ-0380-V-02: HiPS Service_Registry,Leanne Guy,63764f019960988ef6bcba0e,1b,Not Covered
LVV-20579,302310,DMS-REQ-0380-V-03: HiPS Service_Community,Leanne Guy,63764f019960988ef6bcba0e,1b,Not Covered
LVV-20584,304939,DMS-REQ-0382-V-02: HiPS Visualization_NB,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-20864,302090,DMS-REQ-0405-V-01: Level 1 Data Product Availability for Solar System Objects,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-20865,302096,DMS-REQ-0406-V-01: Level 1 Data Product Availability for Transient Alerts,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-20866,302101,DMS-REQ-0402-V-01: Level 1 Data Product Embargo,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-20867,302098,DMS-REQ-0404-V-01: Level 1 Data Product Pixel Data Embargo in Commissioning,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-20868,302103,DMS-REQ-0403-V-01: Level 1 Data Product Pixel Data Embargo in Operations,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-20869,302099,DMS-REQ-0400-V-01: Secure Data Storage,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-20870,302104,DMS-REQ-0401-V-01: Summit to Archive Secure Data Transfer,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-20908,319315,DMS-REQ-0032-V-02: Image Differencing With Single Exposure Templates,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Not Covered
LVV-20922,324291,DMS-REQ-0407-V-01: Archive Center Support for Level-3 Products,Jeffrey Carlin,60a6a73675e875006f46e758,2,Not Covered
